Time,FrontalAxis,VerticalAxis,LateralAxis,Gender,SensorId,signal,Phase,Frequence,Activity
0.5,0.27203,1.0082,-0.082102,1,1,-63.0,4.7369,921.75,1
1.75,0.44791000000000003,0.9163600000000001,-0.013684,1,1,-63.0,2.0371,921.25,1
3.25,0.34238,0.96229,-0.059296,1,4,-56.5,1.2563,924.75,1
4.0,0.30721,0.99674,-0.070699,1,1,-63.5,3.8718,922.75,1
5.0,0.27203,0.99674,-0.09350499999999999,1,1,-64.0,2.4943,924.25,1
6.75,0.23685,1.0312,-0.12771,1,1,-65.0,1.6506,925.25,1
8.0,0.31893,0.99674,-0.070699,1,4,-56.5,4.5252,924.75,1
9.0,0.47136000000000006,0.92784,-0.0022806,1,1,-62.5,3.8135,922.75,1
10.75,0.40101,0.93932,-0.025087,1,4,-58.0,0.50468,925.75,1
13.0,0.30721,0.99674,-0.070699,1,1,-64.0,1.9926,924.75,1
14.0,0.41273000000000004,0.93932,-0.0022806,1,1,-62.0,1.9221,921.25,1
15.5,0.27203,1.0082,-0.10490999999999999,1,1,-62.0,1.0845,922.25,1
16.5,0.24858000000000002,1.0312,-0.09350499999999999,1,1,-65.0,4.5697,925.25,1
17.5,0.2603,1.0197,-0.10490999999999999,1,1,-62.5,1.5064,921.75,1
19.25,0.31893,0.99674,-0.070699,1,1,-62.5,2.2764,920.75,1
20.0,0.43618999999999997,0.9163600000000001,0.0091224,1,1,-63.0,6.2663,923.25,1
21.0,0.47136000000000006,0.92784,0.020525,1,1,-64.0,2.8532,923.75,1
23.25,0.2134,1.0312,-0.12771,1,1,-63.5,5.7724,923.75,1
26.25,0.23685,1.0197,-0.10490999999999999,1,1,-62.0,4.8934,921.25,1
27.75,0.20168,1.0312,-0.11631,1,1,-62.5,0.8452200000000001,922.25,1
29.75,0.50654,0.9163600000000001,0.020525,1,1,-63.0,6.2341,923.25,1
30.75,0.42446000000000006,0.9163600000000001,-0.0022806,1,1,-58.5,1.2809,922.75,1
31.75,0.24858000000000002,1.0082,-0.16192,1,1,-59.5,6.2004,920.25,1
33.0,0.34238,0.97377,-0.047893,1,1,-61.5,6.2387,923.75,1
33.5,0.30721,0.97377,-0.036489999999999995,1,1,-63.0,1.7671,925.25,1
34.5,0.15478,1.0197,-0.13912,1,1,-60.0,1.8024,921.75,1
37.0,0.56517,0.8704200000000001,0.11175,1,1,-58.5,1.985,921.75,1
38.1,1.0694,0.29627,-0.013684,1,4,-67.0,5.7984,923.75,3
38.5,0.8231200000000001,-0.07119600000000001,-0.10490999999999999,1,3,-53.0,0.47707,925.25,3
38.85,1.0576,-0.28938,-0.036489999999999995,1,3,-52.0,0.9434,924.25,3
39.35,1.1632,-0.27789,-0.059296,1,4,-64.5,1.6858,921.75,3
39.75,0.9052,-0.20899,-0.15052000000000001,1,4,-67.5,4.5989,924.75,3
40.25,1.1397,-0.27789,-0.070699,1,3,-51.5,1.0907,923.75,3
40.5,0.92865,-0.19751,-0.16192,1,4,-65.5,0.37583,922.75,3
41.6,0.9169299999999999,-0.19751,-0.16192,1,4,-66.5,6.0822,920.25,3
42.0,1.3156,-0.34679,-0.013684,1,3,-51.0,4.4915,923.25,3
42.5,0.9052,-0.19751,-0.16192,1,4,-65.5,0.80687,922.25,3
43.1,1.2452,-0.34679,-0.025087,1,3,-50.5,4.7691,922.75,3
43.35,0.87003,-0.19751,-0.17332999999999998,1,4,-65.5,1.8929,921.25,3
43.5,0.9521,-0.18603,-0.15052000000000001,1,3,-50.5,6.0776,920.75,3
44.25,0.87003,-0.20899,-0.17332999999999998,1,4,-66.0,1.4021,921.75,3
44.75,0.8934799999999999,-0.19751,-0.16192,1,3,-50.5,5.0468,922.25,3
46.0,1.0342,-0.20899,-0.12771,1,3,-50.0,6.0945,920.75,3
46.25,1.3156,-0.36976,-0.013684,1,4,-67.5,4.941,924.25,3
